Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure,Total_Children,Total_Spending
PhD,Single,42710.0,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,41,578,1,406
PhD,In_Relationship,84169.0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,43,326,0,1919
Graduation,In_Relationship,54058.0,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,49,390,1,662
Postgraduate,In_Relationship,24683.0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,35,113,1,41
Graduation,Single,85620.0,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,61,173,0,1600
Graduation,In_Relationship,47850.0,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,45,208,1,134
Graduation,In_Relationship,19514.0,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,57,154,2,69
Postgraduate,In_Relationship,27159.0,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,52,92,2,21
Postgraduate,Single,39548.0,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,62,90,2,54
Graduation,Single,21474.0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,36,82,1,91
PhD,Single,60504.0,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,54,142,1,526
Graduation,In_Relationship,22419.0,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,62,437,0,162
Postgraduate,In_Relationship,81698.0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,76,235,0,1008
Graduation,In_Relationship,43462.0,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,73,655,2,240
PhD,Single,54880.0,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,47,485,1,795
Graduation,In_Relationship,79908.0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,43,450,0,1772
Postgraduate,In_Relationship,15315.0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,55,330,0,64
Graduation,In_Relationship,87771.0,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,66,403,1,1957
Graduation,In_Relationship,33039.0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,47,293,1,78
Graduation,Single,81741.0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,45,378,0,1572
Postgraduate,In_Relationship,71499.0,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,54,369,1,795
Postgraduate,In_Relationship,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,55,165,1,889
PhD,Single,48799.0,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,62,236,1,331
PhD,In_Relationship,52157.0,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,75,22,1,265
Graduation,Single,66565.0,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,63,571,1,1065
Postgraduate,In_Relationship,29298.0,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,74,295,2,11
Graduation,Single,47691.0,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,46,359,1,21
Graduation,In_Relationship,38200.0,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,55,569,2,17
Graduation,In_Relationship,44989.0,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,51,655,1,369
PhD,In_Relationship,38443.0,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,57,153,2,38
Postgraduate,Single,38593.0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,47,289,1,177
PhD,In_Relationship,64413.0,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,55,332,1,279
Postgraduate,In_Relationship,36959.0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,44,270,1,62
PhD,In_Relationship,61996.0,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,48,514,1,1230
Graduation,In_Relationship,51287.0,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,57,89,2,182
Graduation,In_Relationship,13260.0,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,55,310,2,49
PhD,In_Relationship,47472.0,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,59,286,2,75
Postgraduate,In_Relationship,54603.0,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,69,355,2,227
PhD,In_Relationship,45207.0,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,51,596,2,215
Graduation,In_Relationship,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,74,468,1,444
Postgraduate,In_Relationship,47821.0,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,58,252,2,47
Postgraduate,In_Relationship,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,74,440,0,143
Graduation,In_Relationship,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,42,87,1,55
Postgraduate,In_Relationship,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,54,72,2,63
Graduation,Single,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,70,644,0,1867
Postgraduate,In_Relationship,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,64,288,1,611
Graduation,In_Relationship,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,70,43,1,473
Graduation,In_Relationship,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,66,313,0,55
PhD,Single,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,41,625,1,81
Postgraduate,In_Relationship,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,50,564,0,2086
Postgraduate,Single,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,60,231,0,1478
Graduation,In_Relationship,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,48,150,1,49
PhD,In_Relationship,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,53,291,0,382
Postgraduate,In_Relationship,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,50,283,1,69
Graduation,Single,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,56,611,1,67
Postgraduate,In_Relationship,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,56,253,2,30
Postgraduate,In_Relationship,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,47,390,1,63
Graduation,In_Relationship,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,44,681,1,79
Graduation,Single,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,64,493,1,42
Graduation,In_Relationship,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,65,667,1,819
Graduation,Single,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,70,285,0,1151
PhD,In_Relationship,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,77,567,2,594
Postgraduate,In_Relationship,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,59,519,2,129
Postgraduate,Single,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,39,547,1,213
Graduation,Single,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,138,1,67
Graduation,Single,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,69,475,3,28
Basic,In_Relationship,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,50,611,1,45
Graduation,In_Relationship,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,60,53,0,1193
Postgraduate,Single,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,56,314,0,268
Postgraduate,Single,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,81,346,0,266
Basic,In_Relationship,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,52,565,1,37
Graduation,In_Relationship,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,58,244,3,37
PhD,Single,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,56,597,0,882
Graduation,In_Relationship,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,51,338,2,373
Postgraduate,Single,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,60,419,3,35
PhD,In_Relationship,162397.0,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,49,391,2,107
Graduation,Single,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,47,468,2,42
Postgraduate,In_Relationship,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,65,681,1,326
PhD,In_Relationship,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,64,353,1,404
Graduation,Single,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,54,350,0,95
Graduation,Single,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,76,111,0,939
Postgraduate,Single,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,47,183,1,33
Postgraduate,In_Relationship,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,70,391,0,981
Graduation,In_Relationship,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,49,525,1,36
Graduation,Single,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,50,391,1,1237
Graduation,In_Relationship,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,65,646,1,1825
PhD,Single,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,48,661,2,103
Graduation,Single,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,48,558,1,191
PhD,In_Relationship,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,55,222,1,1586
PhD,In_Relationship,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,67,16,0,963
Postgraduate,In_Relationship,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,55,165,1,889
Postgraduate,Single,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,65,134,0,93
Graduation,Single,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,52,437,0,1587
Graduation,Single,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,63,111,3,16
Graduation,Single,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,73,390,0,1375
Graduation,In_Relationship,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,63,537,1,393
Postgraduate,Single,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,75,639,1,1477
Graduation,In_Relationship,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,54,235,1,1179
Graduation,In_Relationship,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,65,632,1,1005
PhD,In_Relationship,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,77,47,0,1348
PhD,Single,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,66,546,1,1307
Graduation,Single,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,61,418,1,486
Postgraduate,In_Relationship,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,78,476,0,2252
PhD,In_Relationship,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,54,315,2,235
Graduation,In_Relationship,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,55,524,0,1724
Postgraduate,Single,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,55,198,1,235
Postgraduate,In_Relationship,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,48,37,1,1092
Graduation,In_Relationship,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,67,286,1,599
Postgraduate,Single,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,65,132,0,2008
Graduation,In_Relationship,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,40,671,1,48
Graduation,In_Relationship,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,51,686,1,1174
PhD,In_Relationship,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,75,77,1,67
Graduation,Single,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,70,695,1,365
Graduation,Single,153924.0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50,142,0,6
Graduation,In_Relationship,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,72,176,1,165
Postgraduate,In_Relationship,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,67,645,0,210
PhD,In_Relationship,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,78,302,1,1095
PhD,Single,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,59,251,3,223
Graduation,In_Relationship,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,62,569,1,597
Graduation,In_Relationship,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,40,227,1,22
Graduation,Single,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,50,186,1,1064
Basic,In_Relationship,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,45,660,0,74
Postgraduate,In_Relationship,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,69,544,0,26
Graduation,In_Relationship,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,66,548,0,60
PhD,In_Relationship,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,51,409,1,20
Basic,Single,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,38,277,1,59
PhD,In_Relationship,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,57,416,1,34
Postgraduate,In_Relationship,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,54,234,2,198
PhD,In_Relationship,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,61,335,1,1048
Postgraduate,Single,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,63,233,2,574
Graduation,Single,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,55,655,1,1029
Graduation,In_Relationship,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,45,195,1,670
PhD,Single,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,50,575,1,990
Graduation,In_Relationship,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,51,38,2,11
PhD,In_Relationship,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,62,607,1,1241
Graduation,Single,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,46,178,0,576
Postgraduate,In_Relationship,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,40,378,1,172
PhD,Single,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,45,188,0,664
Graduation,Single,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,62,254,1,928
Graduation,Single,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,58,668,0,2074
Postgraduate,In_Relationship,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,43,339,0,467
Graduation,In_Relationship,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,70,248,1,257
Graduation,In_Relationship,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,58,192,0,1146
PhD,Single,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,49,479,1,689
PhD,Single,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,53,655,0,2114
PhD,In_Relationship,160803.0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,43,694,0,1717
PhD,In_Relationship,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,36,44,0,1346
PhD,In_Relationship,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,56,272,0,1044
PhD,Single,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,65,633,1,493
Graduation,Single,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,55,308,0,957
Postgraduate,In_Relationship,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,67,352,1,270
Basic,In_Relationship,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,73,239,0,29
Postgraduate,Single,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,76,396,2,121
Postgraduate,In_Relationship,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,64,338,2,126
Graduation,Single,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,30,95,0,23
PhD,Single,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,76,447,2,57
Graduation,Single,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,64,238,0,636
Graduation,In_Relationship,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,65,81,0,1004
Graduation,Single,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,52,285,1,734
Graduation,In_Relationship,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,47,109,2,614
Graduation,Single,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,47,138,1,1453
Postgraduate,Single,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,37,61,0,1621
Postgraduate,Single,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,57,185,1,187
Graduation,In_Relationship,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,39,535,1,1443
PhD,Single,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,55,2,1,57
Graduation,Single,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,74,445,1,637
PhD,In_Relationship,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,77,220,1,948
Postgraduate,In_Relationship,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,54,535,1,59
Graduation,In_Relationship,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,39,352,1,18
Postgraduate,Single,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,60,616,1,903
Graduation,Single,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,50,494,1,112
Graduation,In_Relationship,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,72,411,0,596
Graduation,In_Relationship,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,43,326,1,233
PhD,In_Relationship,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,50,569,0,1511
Postgraduate,Single,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,65,644,0,1152
Graduation,In_Relationship,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,47,503,1,48
Graduation,Single,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,55,455,1,1185
Graduation,Single,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,67,92,2,21
Postgraduate,In_Relationship,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,60,557,1,965
Graduation,In_Relationship,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,71,423,0,869
PhD,In_Relationship,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,41,37,1,16
Graduation,In_Relationship,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,60,501,0,1947
Graduation,In_Relationship,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,49,697,1,71
Graduation,In_Relationship,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,59,21,1,65
Graduation,In_Relationship,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,70,218,0,1380
Postgraduate,Single,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,49,155,0,1027
Postgraduate,In_Relationship,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,60,261,3,411
Graduation,In_Relationship,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,34,440,0,836
PhD,Single,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,76,275,2,11
PhD,In_Relationship,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,72,691,2,480
Graduation,In_Relationship,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,382,2,606
PhD,Single,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,77,256,3,284
Graduation,Single,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,52,263,2,1472
Graduation,In_Relationship,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,76,61,0,1677
Graduation,In_Relationship,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,52,457,1,1335
Postgraduate,In_Relationship,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,73,26,1,334
Basic,In_Relationship,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,36,468,1,18
Graduation,In_Relationship,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,56,689,1,1338
PhD,Single,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,72,463,1,1099
Postgraduate,In_Relationship,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,69,480,2,97
PhD,Single,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,75,179,3,63
Postgraduate,In_Relationship,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,47,332,1,109
Graduation,In_Relationship,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,61,155,0,902
Graduation,In_Relationship,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,73,413,0,1574
Postgraduate,In_Relationship,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0,50,202,1,38
Graduation,Single,71163.0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,30,112,0,960
Graduation,Single,33697.0,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,0,55,287,1,28
Postgraduate,In_Relationship,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,1,71,151,0,1215
PhD,In_Relationship,83443.0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,53,180,0,1497
PhD,In_Relationship,51518.0,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,0,67,269,1,449
Graduation,Single,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,50,186,1,1064
Graduation,In_Relationship,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,0,1,56,486,0,1757
Graduation,In_Relationship,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,0,46,58,0,1440
Postgraduate,In_Relationship,63855.0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,47,505,0,1006
PhD,In_Relationship,62220.0,55,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,0,1,53,687,1,1226
Graduation,In_Relationship,58512.0,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,61,283,1,1171
Postgraduate,In_Relationship,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,46,471,1,92
PhD,In_Relationship,38829.0,86,76,0,7,0,0,16,1,3,2,2,5,0,0,0,0,0,0,0,66,84,1,99
Postgraduate,In_Relationship,35523.0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,44,269,1,66
Graduation,Single,79146.0,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,58,66,2,564
Postgraduate,In_Relationship,78285.0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,0,0,0,0,0,37,244,0,1427
PhD,Single,31626.0,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,0,1,47,415,1,86
